WORD	POS	CHUNK	LI	CLASS	FOCUS
?	.	O	O	I-poi	O

What	WP	B-NP	O	B-food	O
are	VBP	B-VP	O	I-food	O
some	DT	B-NP	O	I-food	O
awesome	JJ	I-NP	O	I-food	O
places	NNS	I-NP	B-IH	I-food	B-FOCUS
to	TO	B-VP	I-IH	I-food	O
eat	VB	I-VP	I-IH	I-food	O
on	IN	B-PP	O	I-food	O
a	DT	B-NP	O	I-food	O
road	NN	I-NP	O	I-food	O
trip	NN	I-NP	O	I-food	O
through	IN	B-PP	O	I-food	O
DC	NNP	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
Baltimore	NNP	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
Philadelphia	NNP	B-NP	B-IM_LocCity	I-food	O
and	CC	O	O	I-food	O
Pittsburg	NNP	B-NP	B-IM_LocCity	I-food	O
?	.	O	O	I-food	O

Restaurant	NNP	B-NP	B-IH	B-food	B-FOCUS
and	CC	I-NP	O	B-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
for	IN	B-PP	O	I-hotel	O
New	NNP	B-NP	B-IM_LocCity	I-hotel	O
York	NNP	I-NP	I-IM_LocCity	I-hotel	O
trip	NN	I-NP	O	I-hotel	O
in	IN	B-PP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
beginning	NN	I-NP	B-IM_date	I-hotel	O
of	IN	B-PP	I-IM_date	I-hotel	O
April	NNP	B-NP	I-IM_date	I-hotel	O
?	.	O	O	I-hotel	O

looking	VBG	B-VP	O	B-food	O
for	IN	B-PP	O	I-food	O
casual	JJ	B-NP	O	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
or	CC	I-NP	O	B-fun	O
pubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
Boston	NNP	B-NP	B-IM_LocCity	I-fun	O
0	0	O	O	I-fun	O
MA.	NNP	B-NP	B-IM_LocCountry	I-fun	O

What	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
the	DT	B-NP	O	I-food	O
best	JJS	I-NP	O	I-food	O
lounge	NN	I-NP	B-IH	I-food	B-FOCUS
or	CC	I-NP	O	B-fun	O
club	NN	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
NYC	NNP	B-NP	B-IM_LocCity	I-fun	O
to	TO	B-VP	O	I-fun	O
spend	VB	I-VP	O	I-fun	O
the	DT	B-NP	O	I-fun	O
night	NN	I-NP	O	I-fun	O
?	.	O	O	I-fun	O

Must	MD	O	B-IH	B-poi	O
see	VB	B-NP	I-IH	I-poi	O
places	NNS	I-NP	I-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
Idaho	NNP	B-NP	B-IM_LocCity	I-poi	O
Falls	NNP	I-NP	I-IM_LocCity	I-poi	O
and	CC	I-NP	O	B-hotel	O
accomodation	NN	I-NP	B-IH	I-hotel	B-FOCUS
?	.	O	O	I-hotel	O

Best	JJS	B-NP	O	B-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Travolta	NNP	B-NP	B-IM_PerActor	I-movie	O
based	VBN	B-VP	O	I-movie	O
around	IN	B-PP	O	I-movie	O
music	NN	B-NP	B-IM_MovGenre	I-movie	O
?	.	O	O	I-movie	O

What	WP	B-NP	O	B-hotel	O
is	VBZ	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
best	JJS	I-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
las	NNS	B-NP	B-IM_LocCity	I-hotel	O
vegas	NNS	I-NP	I-IM_LocCity	I-hotel	O
to	TO	B-VP	O	I-hotel	O
spend	VB	I-VP	O	I-hotel	O
2	CD	B-NP	O	I-hotel	O
nights	NNS	I-NP	O	I-hotel	O
in	IN	B-PP	O	I-hotel	O
october	NN	B-NP	B-IM_date	I-hotel	O
?	.	O	O	I-hotel	O

room	NN	B-NP	B-IH	B-hotel	B-FOCUS
for	IN	B-PP	O	I-hotel	O
2	CD	B-NP	O	I-hotel	O
people	NNS	I-NP	O	I-hotel	O
available	JJ	B-ADJP	O	I-hotel	O
on	IN	B-PP	O	I-hotel	O
5	CD	B-NP	B-IM_date	I-hotel	O
oct	NN	I-NP	I-IM_date	I-hotel	O
2011	CD	B-NP	I-IM_date	I-hotel	O
close	NN	I-NP	O	I-hotel	O
to	TO	B-PP	O	I-hotel	O
St	NNP	B-NP	B-IM_LocPOI	I-hotel	O
Peter	NNP	I-NP	I-IM_LocPOI	I-hotel	O
's	POS	B-NP	I-IM_LocPOI	I-hotel	O
Basilica	NNP	I-NP	I-IM_LocPOI	I-hotel	O
.	.	O	O	I-hotel	O

Any	DT	B-NP	O	B-poi	O
must	MD	B-VP	B-IH	I-poi	O
see	VB	I-VP	I-IH	I-poi	O
places	NNS	B-NP	I-IH	I-poi	B-FOCUS
from	IN	B-PP	O	I-poi	O
Alaska	NNP	B-NP	B-IM_LocCountry	I-poi	O
to	TO	B-PP	O	I-poi	O
California	NNP	B-NP	B-IM_LocCountry	I-poi	O
?	.	O	O	I-poi	O

Where	WRB	B-ADVP	O	B-hotel	O
can	MD	O	O	I-hotel	O
I	PRP	B-NP	O	I-hotel	O
find	VB	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
room	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	O	I-hotel	O
spend	VB	I-VP	O	I-hotel	O
some	DT	B-NP	O	I-hotel	O
quite	RB	I-NP	O	I-hotel	O
time	NN	I-NP	O	I-hotel	O
in	IN	B-PP	O	I-hotel	O
madrid	JJ	B-NP	B-IM_LocCity	I-hotel	O
?	.	O	O	I-hotel	O

what	WP	B-NP	O	B-event	O
are	VBP	B-VP	O	I-event	O
some	DT	B-NP	O	I-event	O
things	NNS	I-NP	B-IH	I-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
in	IN	B-PP	O	I-event	O
Koh	NNP	B-NP	B-IM_LocRegion	I-event	O
Samui	NNP	I-NP	I-IM_LocRegion	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
?	.	O	O	I-event	O

cheap	JJ	B-NP	O	B-hotel	O
accommodation	NN	I-NP	B-IH	I-hotel	B-FOCUS
and	CC	O	O	B-poi	O
must	MD	B-VP	B-IH	I-poi	O
visit	VB	I-VP	I-IH	I-poi	O
places	NNS	B-NP	I-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
Nice	NNP	B-NP	B-IM_LocCity	I-poi	O
0	0	O	O	I-poi	O
France	NNP	B-NP	B-IM_LocCountry	I-poi	O
?	.	O	O	I-poi	O

any	DT	B-NP	O	B-fun	O
good	JJ	I-NP	O	I-fun	O
bars	NNS	I-NP	B-IH	I-fun	B-FOCUS
and	CC	I-NP	O	B-fun	O
clubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
Pacov	NNP	B-NP	B-IM_LocCity	I-fun	O
?	.	O	O	I-fun	O

Places	NNS	B-NP	B-IH	B-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
go	VB	I-VP	I-IH	I-poi	O
and	CC	I-VP	O	B-event	O
things	NNS	B-NP	B-IH	I-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
in	IN	B-PP	O	I-event	O
Westphalia	NNP	B-NP	B-IM_LocRegion	I-event	O
next	JJ	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
?	.	O	O	I-event	O

what	WP	B-NP	O	B-fun	O
are	VBP	B-VP	O	I-fun	O
good	JJ	B-NP	O	I-fun	O
bars	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
san	JJ	B-NP	B-IM_LocCity	I-fun	O
diego	NN	I-NP	I-IM_LocCity	I-fun	O
CA	NNP	I-NP	B-IM_LocCountry	I-fun	O
?	.	O	O	I-fun	O

Good	JJ	B-NP	O	B-movie	O
romantic	JJ	I-NP	B-IM_MovGenre	I-movie	O
comedies	NNS	I-NP	B-IH	I-movie	B-FOCUS
or	CC	I-NP	O	B-movie	O
romance	NN	I-NP	B-IM_MovGenre	I-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
robin	NN	B-NP	B-IM_PerActor	I-movie	O
williams	NNS	I-NP	I-IM_PerActor	I-movie	O
to	TO	B-VP	O	I-movie	O
watch	VB	I-VP	O	I-movie	O
this	DT	B-NP	B-IM_date	I-movie	O
evening	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
memphis	PRP$	B-NP	B-IM_LocCity	I-movie	O
?	.	O	O	I-movie	O

Things	NNS	B-NP	B-IH	B-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
in	IN	B-PP	O	I-event	O
malaysia	NN	B-NP	B-IM_LocCountry	I-event	O
in	IN	B-PP	O	I-event	O
august	NN	B-NP	B-IM_date	I-event	O
?	.	O	O	I-event	O

Which	WDT	B-NP	O	B-hotel	O
hostel	NN	I-NP	B-IH	I-hotel	B-FOCUS
is	VBZ	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
best	JJS	I-NP	O	I-hotel	O
in	IN	B-PP	O	I-hotel	O
manhattan	JJ	B-NP	B-IM_LocRegion	I-hotel	O
nyc	NN	I-NP	I-IM_LocCity	I-hotel	O
and	CC	O	O	B-transport	O
where	WRB	B-ADVP	O	I-transport	O
is	VBZ	B-VP	O	I-transport	O
the	DT	B-NP	O	I-transport	O
closest	JJS	I-NP	O	I-transport	O
metro	NN	I-NP	B-IH	I-transport	O
station	NN	I-NP	I-IH	I-transport	B-FOCUS
?	.	O	O	I-transport	O

Things	NNS	B-NP	B-IH	B-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
in	IN	B-PP	O	I-event	O
Hawaii	NNP	B-NP	B-IM_LocCountry	I-event	O
for	IN	B-PP	O	I-event	O
New	NNP	B-NP	B-IM_date	I-event	O
Years	NNS	I-NP	I-IM_date	I-event	O
Eve	NNP	I-NP	I-IM_date	I-event	O
and	CC	O	O	B-hotel	O
where	WRB	B-ADVP	O	I-hotel	O
is	VBZ	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
nice	JJ	I-NP	O	I-hotel	O
place	NN	I-NP	B-IH	I-hotel	B-FOCUS
where	WRB	B-ADVP	I-IH	I-hotel	O
to	TO	B-VP	I-IH	I-hotel	O
stay	VB	I-VP	I-IH	I-hotel	O
?	.	O	O	I-hotel	O

What	WP	B-NP	O	B-poi	O
are	VBP	B-VP	O	I-poi	O
some	DT	B-NP	O	I-poi	O
unique	JJ	I-NP	O	I-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
0	.	O	O	B-food	O
restaurants	NNS	B-NP	B-IH	I-food	B-FOCUS
and	CC	O	O	B-hotel	O
a	DT	B-NP	O	I-hotel	O
cheap	JJ	I-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
dallas	NNS	B-NP	B-IM_LocCity	I-hotel	O
tx	.	O	B-IM_LocCountry	I-hotel	O
?	.	O	O	I-hotel	O

what	WP	B-NP	O	B-hotel	O
is	VBZ	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
cheapest	JJS	I-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
0	0	I-NP	O	B-hotel	O
lodge	NN	I-NP	B-IH	I-hotel	B-FOCUS
or	CC	I-NP	O	B-hotel	O
inn	NN	I-NP	B-IH	I-hotel	B-FOCUS
near	IN	B-PP	O	I-hotel	O
Cathedral	NNP	B-NP	B-IM_LocAddress	I-hotel	O
Square	NNP	I-NP	I-IM_LocAddress	I-hotel	O
0	0	O	O	I-hotel	O
milan	NN	B-NP	B-IM_LocCity	I-hotel	O
?	.	O	O	I-hotel	O

Hotels	NNS	B-NP	B-IH	B-hotel	B-FOCUS
and	CC	O	O	B-food	O
italian	JJ	B-NP	B-IM_type	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
Orlando	NNP	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
Florida	NNP	B-NP	B-IM_LocCountry	I-food	O
?	.	O	O	I-food	O

What	WP	B-NP	O	B-food	O
pizza	NN	I-NP	B-IH	I-food	O
place	NN	I-NP	I-IH	I-food	B-FOCUS
is	VBZ	B-VP	O	I-food	O
open	JJ	B-ADJP	B-IM_service	I-food	O
all	DT	B-NP	I-IM_service	I-food	O
night	NN	I-NP	I-IM_service	I-food	O
in	IN	B-PP	O	I-food	O
Surat	NNP	B-NP	B-IM_LocCity	I-food	O
?	.	O	O	I-food	O

What	WP	B-NP	O	B-hotel	O
is	VBZ	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
good	JJ	I-NP	O	I-hotel	O
location	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
sleep	VB	I-VP	I-IH	I-hotel	O
in	IN	B-PP	O	I-hotel	O
Dallas	NNP	B-NP	B-IM_LocCity	I-hotel	O
0	.	O	O	I-hotel	O
Texas	NNP	B-NP	B-IM_LocCountry	I-hotel	O
?	.	O	O	I-hotel	O

What	WP	B-NP	O	B-food	O
restaurants	NNS	B-NP	B-IH	I-food	B-FOCUS
are	VBP	B-VP	O	I-food	O
good	JJ	B-ADJP	O	I-food	O
to	TO	B-VP	O	I-food	O
have	VB	I-VP	O	I-food	O
dinner	NN	B-NP	O	I-food	O
in	IN	B-PP	O	I-food	O
liverpool	NN	B-NP	B-IM_LocCity	I-food	O
?	.	O	O	I-food	O

What	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
a	DT	B-NP	O	I-food	O
great	JJ	I-NP	O	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
and	CC	O	O	B-hotel	O
a	DT	B-NP	O	I-hotel	O
great	JJ	I-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
Berkshire	NNP	B-NP	B-IM_LocRegion	I-hotel	O
?	.	O	O	I-hotel	O

What	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
a	DT	B-NP	O	I-food	O
good	JJ	I-NP	O	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
los	NNS	B-NP	B-IM_LocCity	I-food	O
alamos	NNS	I-NP	I-IM_LocCity	I-food	O
and	CC	O	O	B-hotel	O
what	WP	B-NP	O	I-hotel	O
are	VBP	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
nearest	JJS	I-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS
?	.	O	O	I-hotel	O

What	WP	B-NP	O	B-food	O
are	VBP	B-VP	O	I-food	O
some	DT	B-NP	O	I-food	O
good	JJ	I-NP	O	I-food	O
places	NNS	I-NP	B-IH	I-food	B-FOCUS
to	TO	B-VP	I-IH	I-food	O
eat	VB	I-VP	I-IH	I-food	O
in	IN	B-PP	O	I-food	O
Portland	NNP	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
Oregon	NNP	B-NP	B-IM_LocCountry	I-food	O
?	.	O	O	I-food	O

What	WP	B-NP	O	B-fun	O
are	VBP	B-VP	O	I-fun	O
good	JJ	B-NP	O	I-fun	O
nightclubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
Salem	NNP	B-NP	B-IM_LocCity	I-fun	O
?	.	O	O	I-fun	O

What	WP	B-NP	O	B-hotel	O
is	VBZ	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
nearest	JJS	I-NP	O	I-hotel	O
place	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
stay	VB	I-VP	I-IH	I-hotel	O
near	IN	B-PP	O	I-hotel	O
Union	NNP	B-NP	B-IM_LocAddress	I-hotel	O
Square	NNP	I-NP	I-IM_LocAddress	I-hotel	O
Manhattan	NNP	I-NP	B-IM_LocRegion	I-hotel	O
?	.	O	O	I-hotel	O

Where	WRB	B-ADVP	O	B-fun	O
are	VBP	B-VP	O	I-fun	O
some	DT	B-NP	O	I-fun	O
cool	JJ	I-NP	O	I-fun	O
bars	NNS	I-NP	B-IH	I-fun	B-FOCUS
near	IN	B-PP	O	I-fun	O
Forest	NNP	B-NP	B-IM_LocPOI	I-fun	O
Park	NNP	I-NP	I-IM_LocPOI	I-fun	O
area	NN	I-NP	O	I-fun	O
in	IN	B-PP	O	I-fun	O
St	NNP	B-NP	B-IM_LocCity	I-fun	O
.	.	I-NP	I-IM_LocCity	I-fun	O
Louis	NNP	I-NP	I-IM_LocCity	I-fun	O
0	0	O	O	I-fun	O
Mo	NNP	B-NP	B-IM_LocCountry	I-fun	O
?	.	O	O	I-fun	O

What	WP	B-NP	O	B-fun	O
is	VBZ	B-VP	O	I-fun	O
a	DT	B-NP	O	I-fun	O
good	JJ	I-NP	O	I-fun	O
bar	NN	I-NP	B-IH	I-fun	B-FOCUS
or	CC	I-NP	O	B-food	O
lounge	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
south	RB	B-NP	B-IM_LocArea	I-food	O
Denver	NNP	I-NP	B-IM_LocCity	I-food	O
and	CC	O	O	B-transport	O
which	WDT	B-NP	O	I-transport	O
is	VBZ	B-VP	O	I-transport	O
the	DT	B-NP	O	I-transport	O
closest	JJS	I-NP	O	I-transport	O
metro	NN	I-NP	B-IH	I-transport	O
station	NN	I-NP	I-IH	I-transport	B-FOCUS
?	.	O	O	I-transport	O

What	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
a	DT	B-NP	O	I-food	O
nice	JJ	I-NP	O	I-food	O
lounge	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
Redmond	NNP	B-NP	B-IM_LocCity	I-food	O
to	TO	B-VP	O	I-food	O
go	VB	I-VP	O	I-food	O
on	IN	B-PP	O	I-food	O
Sunday	NNP	B-NP	B-IM_date	I-food	O
night	NN	I-NP	I-IM_date	I-food	O
?	.	O	O	I-food	O

Are	VBP	O	O	B-food	O
there	EX	B-NP	O	I-food	O
any	DT	B-NP	O	I-food	O
good	JJ	I-NP	O	I-food	O
french	NN	I-NP	B-IM_type	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
close	RB	B-ADVP	O	I-food	O
to	TO	B-PP	O	I-food	O
a	DT	B-NP	O	I-food	O
cinema	NN	I-NP	B-IH	I-food	O
in	IN	B-PP	O	I-food	O
Omaha	NNP	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
NE	NNP	B-NP	B-IM_LocCountry	I-food	O
?	.	O	O	I-food	O

things	NNS	B-NP	B-IH	B-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
in	IN	B-PP	O	I-event	O
Winnipeg	NNP	B-NP	B-IM_LocCity	I-event	O
tomorrow	NN	B-NP	B-IM_date	I-event	O
?	.	O	O	I-event	O

What	WP	B-NP	O	B-poi	O
are	VBP	B-VP	O	I-poi	O
some	DT	B-NP	O	I-poi	O
must	MD	B-VP	B-IH	I-poi	O
go	VB	I-VP	I-IH	I-poi	O
places	NNS	B-NP	I-IH	I-poi	B-FOCUS
or	CC	O	O	B-event	O
must	MD	B-VP	B-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
things	NNS	B-NP	I-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
denver	NN	B-NP	B-IM_LocCity	I-event	O
0	0	O	O	I-event	O
CO	NNP	B-NP	B-IM_LocCountry	I-event	O
?	.	O	O	I-event	O

Where	WRB	B-ADVP	O	B-food	O
can	MD	O	O	I-food	O
I	PRP	B-NP	O	I-food	O
find	VB	B-VP	O	I-food	O
a	DT	B-NP	O	I-food	O
great	JJ	I-NP	O	I-food	O
inexpensive	JJ	I-NP	O	I-food	O
lincoln	NN	I-NP	B-IM_LocCity	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
and	CC	O	O	B-hotel	O
a	DT	B-NP	O	I-hotel	O
nice	JJ	I-NP	O	I-hotel	O
place	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
overnight	RB	I-VP	I-IH	I-hotel	O
?	.	O	O	I-hotel	O

What	WP	B-NP	O	B-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
Kingston	NNP	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
NY	NNP	B-NP	B-IM_LocCountry	I-food	O
has	VBZ	B-VP	O	I-food	O
wireless	JJ	B-NP	B-IM_service	I-food	O
and	CC	O	O	I-food	O
is	VBZ	B-VP	O	I-food	O
close	RB	B-ADJP	O	I-food	O
to	TO	B-PP	O	I-food	O
a	DT	B-NP	O	I-food	O
metro	NN	I-NP	B-IH	I-food	O
station	NN	I-NP	I-IH	I-food	O
?	.	O	O	I-food	O

What	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
the	DT	B-NP	O	I-food	O
best	JJS	I-NP	O	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
Manhattan	NNP	B-NP	B-IM_LocRegion	I-food	O
and	CC	O	O	B-transport	O
where	WRB	B-ADVP	O	I-transport	O
is	VBZ	B-VP	O	I-transport	O
the	DT	B-NP	O	I-transport	O
closest	JJS	I-NP	O	I-transport	O
bus	NN	I-NP	B-IH	I-transport	O
stop	NN	I-NP	I-IH	I-transport	B-FOCUS
?	.	O	O	I-transport	O

What	WP	B-NP	O	B-fun	O
are	VBP	B-VP	O	I-fun	O
the	DT	B-NP	O	I-fun	O
best	JJS	I-NP	O	I-fun	O
night	NN	I-NP	B-IH	I-fun	B-FOCUS
clubs	NNS	I-NP	I-IH	I-fun	I-FOCUS
in	IN	B-PP	O	I-fun	O
La	NNP	B-NP	B-IM_LocCity	I-fun	O
Rochelle	NNP	I-NP	I-IM_LocCity	I-fun	O
and	CC	O	O	B-hotel	O
what	WP	B-NP	O	I-hotel	O
is	VBZ	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
closest	JJS	I-NP	O	I-hotel	O
place	NN	I-NP	B-IH	I-hotel	B-FOCUS
where	WRB	B-ADVP	I-IH	I-hotel	O
to	TO	B-VP	I-IH	I-hotel	O
sleep	VB	I-VP	I-IH	I-hotel	O
?	.	O	O	I-hotel	O

Best	JJS	B-NP	O	B-food	O
places	NNS	I-NP	B-IH	I-food	B-FOCUS
for	IN	B-PP	I-IH	I-food	O
breakfast	NN	B-NP	I-IH	I-food	O
in	IN	B-PP	O	I-food	O
Sydney	NNP	B-NP	B-IM_LocCity	I-food	O
close	RB	I-NP	O	I-food	O
to	TO	B-PP	O	I-food	O
a	DT	B-NP	O	I-food	O
4-star	JJ	I-NP	B-IM_rating	I-food	O
hotel	NN	I-NP	B-IH	I-food	O
?	.	O	O	I-food	O

Any	DT	B-NP	O	B-event	O
free	JJ	I-NP	B-IM_type	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
ottawa	NNP	B-NP	B-IM_LocCity	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
?	.	O	O	I-event	O

any	DT	B-NP	O	B-hotel	O
available	JJ	I-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
Brisbane	NNP	B-NP	B-IM_LocCity	I-hotel	O
5th	JJ	B-NP	B-IM_date	I-hotel	O
DEC	NNP	I-NP	I-IM_date	I-hotel	O
?	.	O	O	I-hotel	O

Where	WRB	B-ADVP	O	B-hotel	O
is	VBZ	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
great	JJ	I-NP	O	I-hotel	O
place	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
stay	VB	I-VP	I-IH	I-hotel	O
nearby	RB	B-ADVP	O	I-hotel	O
homewood	NN	B-NP	B-IM_LocCity	I-hotel	O
0	0	O	O	I-hotel	O
alabama	NN	B-NP	B-IM_LocCountry	O	O
?	.	O	O	O	O

What	WP	B-NP	O	B-poi	O
are	VBP	B-VP	O	I-poi	O
the	DT	B-NP	O	I-poi	O
must	MD	B-VP	B-IH	I-poi	O
visit	VB	I-VP	I-IH	I-poi	O
places	NNS	B-NP	I-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
japan	NN	B-NP	B-IM_LocCountry	I-poi	O
in	IN	B-PP	O	I-poi	O
October	NNP	B-NP	B-IM_date	I-poi	O
?	.	O	O	I-poi	O

flight	NN	B-NP	B-IH	B-transport	B-FOCUS
to	TO	B-VP	O	I-transport	O
madrid	VB	I-VP	B-IM_LocCity	I-transport	O
4th	JJ	B-NP	B-IM_date	I-transport	O
september	NN	I-NP	I-IM_date	I-transport	O
and	CC	O	O	B-hotel	O
cheap	JJ	B-NP	O	I-hotel	O
accomodations	NNS	I-NP	B-IH	I-hotel	B-FOCUS
close	RB	B-ADVP	O	I-hotel	O
to	TO	B-PP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
town	NN	I-NP	B-IM_LocArea	I-hotel	O
center	NN	I-NP	I-IM_LocArea	I-hotel	O
.	.	O	O	I-hotel	O

I	PRP	B-NP	O	B-hotel	O
need	VBP	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
cheap	JJ	I-NP	O	I-hotel	O
place	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
sleep	VB	I-VP	I-IH	I-hotel	O
between	IN	B-PP	O	I-hotel	O
29	CD	B-NP	B-IM_date	I-hotel	O
December	NNP	I-NP	I-IM_date	I-hotel	O
and	CC	O	O	I-hotel	O
3	CD	B-NP	B-IM_date	I-hotel	O
january	NN	I-NP	I-IM_date	I-hotel	O
in	IN	B-PP	O	I-hotel	O
Dublin	NNP	B-NP	B-IM_LocCity	I-hotel	O

car	NN	B-NP	B-IH	B-transport	O
rental	JJ	I-NP	I-IH	I-transport	O
company	NN	I-NP	I-IH	I-transport	B-FOCUS
in	IN	B-PP	O	I-transport	O
vegas	NN	B-NP	B-IM_LocCity	I-transport	O
and	CC	O	O	B-poi	O
best	RB	B-ADVP	O	I-poi	O
destinations	NNS	B-NP	B-IH	I-poi	B-FOCUS
?	.	O	O	I-poi	O

clubs	NNS	B-NP	B-IH	B-fun	B-FOCUS
and	CC	I-NP	O	B-fun	O
bars	NNS	I-NP	B-IH	I-fun	B-FOCUS
to	TO	B-VP	O	I-fun	O
have	VB	I-VP	O	I-fun	O
fun	NN	B-NP	O	I-fun	O
in	IN	B-PP	O	I-fun	O
Weipa	NNP	B-NP	B-IM_LocCity	I-fun	O
?	.	O	O	I-fun	O

Where	WRB	B-ADVP	O	B-hotel	O
to	TO	B-VP	O	I-hotel	O
